Number;Meaning;Part_of_speech;Stress_type;End_of_clause
201__An.104.1;Add;Noun;both;Yes
201__An.110.1;Conjunctions;Verb;both;No
201__An.115.1;Indef;Pronoun;both;No
201__An.125.1;Indef;Pronoun;on clitic;No
201__An.129.1;Add;Noun;on clitic;No
201__An.13.1;Add;Noun;on clitic;No
201__An.142.1;Conjunctions;Verb;both;Yes
201__An.146.1;Add;Pronoun;both;No
201__An.148.1;Conjunctions;Verb;both;No
201__An.168.1;Conjunctions;Pronoun;both;No
201__An.174.1;Conjunctions;Verb;both;No
201__An.176.1;Conjunctions;Verb;both;Yes
201__An.176.1;Conjunctions;Verb;on clitic;No
201__An.177.1;Conjunctions;Verb;both;No
201__An.184.1;Add;Adverb;on clitic;No
201__An.186.1;Conjunctions;Noun;on clitic;No
201__An.186.1;Conjunctions;Dem;both;No
201__An.193.1;Conjunctions;Verb;both;No
201__An.194.1;Conjunctions;Verb;both;Yes
201__An.195.1;Conjunctions;Verb;both;Yes
201__An.197.1;Add;Pronoun;on clitic;No
201__An.198.1;Add;Noun;both;No
201__An.199.1;Indef;Pronoun;on clitic;No
201__An.2.1;Conjunctions;Verb;on clitic;No
201__An.20.1;Conjunctions;Verb;both;Yes
201__An.207.1;Conjunctions;Verb;both;No
201__An.213.1;Conjunctions;Verb;on clitic;No
201__An.231.1;Conjunctions;Adverb;both;No
201__An.236.1;Conjunctions;Verb;both;No
201__An.236.1;Conjunctions;Verb;both;No
201__An.35.1;Add;Noun;on clitic;No
201__An.4.1;Conjunctions;Verb;on clitic;No
201__An.44.1;Conjunctions;Verb;both;No
201__An.47.1;Indef;Pronoun;both;No
201__An.50.1;Conjunctions;Verb;both;Yes
201__An.54.1;Conjunctions;Noun;on clitic;No
201__An.59.1;Conjunctions;Verb;both;No
201__An.63.1;Conjunctions;Verb;both;Yes
201__An.70.1;Conjunctions;Verb;both;No
201__An.94.1;Conjunctions;Verb;on clitic;Yes
201__Zi.10.1;Indef;Pronoun;both;No
201__Zi.10.1;Conjunctions;Noun;both;No
201__Zi.12.1;Indef;Pronoun;both;No
201__Zi.13.1;Indef;Pronoun;both;No
201__Zi.13.1;Add;Dem;both;No
201__Zi.21.1;Add;Noun;both;No
